,restaurant_id,names,restaurant_type,address,latitude,longitude,num_of_reviews,rating,zip_code
71,BtsXojrMtfLRhhFK7rm35A,Hupo,chinese,1007 50th Ave,40.742827,-73.953575,159,4.5,11101
72,rYw5rQbWRX9buZHZbxqWdA,Congee Village,chinese,100 Allen St,40.7187,-73.99031,1662,3.5,10002
73,ePVlFbTzdVQFWie__kdplg,Main Noodle House,chinese,1011 6th Ave,40.752143,-73.986396,428,3.5,10018
74,d_TC6Om2EBTzHVm_lCgNtg,Great NY Noodle Town,chinese,28 Bowery,40.7150363828814,-73.9971172437072,1383,3.5,10013
75,yFub1BhKEP-W-_ZM3_nJoQ,Bodhi Kosher Vegetarian Restaurant,chinese,77 Mulberry St,40.71641,-73.99931,446,4.5,10013
76,1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,chinese,495 3rd Ave,40.745234,-73.97812,80,4.5,10016
77,smxIke5NSkMIExa6jLVw-g,Joe's Steam Rice Roll,chinese,422 Amsterdam Ave,40.78411,-73.977964,124,4.5,10024
78,2wVirrAVg3ltAFHoHeXHMQ,Dim Sum Palace,chinese,59 2nd Ave,40.7259,-73.98986,281,4.5,10003
79,B87c3bE_u53yNYO1cmHSIw,Flor de Mayo,chinese,2651 Broadway,40.797859,-73.969948,600,4.0,10025
80,6dVXDdgzDEVt4DvHzpWo9w,Tang Pavilion,chinese,65 W 55th St,40.762849,-73.977189,320,3.5,10019
81,Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,chinese,146 E 55th St,40.7592514705491,-73.9694294705987,341,3.5,10022
82,B7bxdtvLYR7Nmex4AIFd4w,RedFarm,chinese,2170 Broadway,40.782051,-73.980415,664,3.5,10024
83,rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,chinese,110 E 7th St,40.72634,-73.98478,351,4.0,10009
84,UaQF4mv6hVjiegkwUvQeMQ,Dim Sum Chelsea,chinese,236 8th Ave,40.744624,-73.998649,115,4.5,10011
85,2J3--ZI6CcoYLWSYYVdt7Q,Milu,chinese,333 Park Ave S,40.741084,-73.985324,134,4.5,10010
86,6zM0c7vvoddgza_qvKkATw,Golden Unicorn,chinese,18 E Broadway,40.7136770496642,-73.997163364418,1887,3.5,10002
87,croh2zWlbPyCQTNS11klcg,China River 川聚院,chinese,258 W 44th St,40.7581711239604,-73.9883149042726,233,4.0,10036
88,2eR8ftw-GiTEwg3Y7Rm-MA,Mimi Cheng's Dumplings,chinese,179 2nd Ave,40.7305254,-73.986285,686,3.5,10003
89,XfHgiIsoo1Pr_v04bx9ptg,Sushumai Asian Fusion,chinese,112 Stanton St,40.7211610690848,-73.9872866123915,223,4.5,10002
